Trade #,Type,Signal,Date/Time,Price,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
165,Exit Short,S Stop,2022-05-30 03:00,1903.68,8016.2919,-531696.70,-3.61,18606534.00,-2.76,1083117.00,7.35,556856.06,3.78
165,Entry Short,Short,2022-05-26 07:00,1838.85,8016.2919,-531696.70,-3.61,18606534.00,-2.76,1083117.00,7.35,556856.06,3.78
164,Exit Short,S Stop,2022-05-22 19:00,2045.69,6646.8909,4177313.80,23.48,19138230.00,27.74,5815827.50,32.70,348964.53,1.96
164,Entry Short,Short,2022-05-06 09:00,2676.04,6646.8909,4177313.80,23.48,19138230.00,27.74,5815827.50,32.70,348964.53,1.96
163,Exit Short,S Stop,2022-05-01 11:00,2803.85,6894.1297,-547340.20,-2.91,14960916.00,-3.51,65144.92,0.35,539608.10,2.87
163,Entry Short,Short,2022-04-30 21:00,2726.67,6894.1297,-547340.20,-2.91,14960916.00,-3.51,65144.92,0.35,539608.10,2.87
162,Exit Short,S Stop,2022-04-25 13:00,2933.24,8519.9379,-600905.30,-2.46,15508257.00,-3.71,569762.25,2.33,590908.94,2.42
162,Entry Short,Short,2022-04-24 23:00,2865.03,8519.9379,-600905.30,-2.46,15508257.00,-3.71,569762.25,2.33,590908.94,2.42
161,Exit Long,L Stop,2022-04-20 11:00,3082.69,9213.4773,-668752.75,-2.30,16109162.00,-3.96,73329.03,0.25,657391.90,2.26
161,Entry Long,Long,2022-04-20 09:00,3152.78,9213.4773,-668752.75,-2.30,16109162.00,-3.96,73329.03,0.25,657391.90,2.26
160,Exit Short,S Stop,2022-04-19 11:00,3119.82,6173.2903,-256131.38,-1.35,16777914.00,-1.49,1212172.90,6.37,403871.00,2.12
160,Entry Short,Short,2022-04-11 07:00,3080.81,6173.2903,-256131.38,-1.35,16777914.00,-1.49,1212172.90,6.37,403871.00,2.12
159,Exit Short,S Stop,2022-04-08 03:00,3286.26,6184.6586,-744149.94,-3.80,17034046.00,-4.16,149066.30,0.76,736020.20,3.76
159,Entry Short,Short,2022-04-06 21:00,3168.52,6184.6586,-744149.94,-3.80,17034046.00,-4.16,149066.30,0.76,736020.20,3.76
158,Exit Long,L Stop,2022-04-05 21:00,3377.66,9016.4938,-970391.90,-3.09,17778196.00,-5.15,869253.00,2.77,958210.00,3.05
158,Entry Long,Long,2022-04-01 23:00,3482.54,9016.4938,-970391.90,-3.09,17778196.00,-5.15,869253.00,2.77,958210.00,3.05
157,Exit Long,L Stop,2022-03-31 23:00,3220.51,7852.6136,3137310.50,14.17,18748588.00,19.97,5199785.50,23.49,424884.72,1.92
157,Entry Long,Long,2022-03-17 11:00,2818.57,7852.6136,3137310.50,14.17,18748588.00,19.97,5199785.50,23.49,424884.72,1.92
156,Exit Short,S Stop,2022-03-07 23:00,2569.29,4760.7971,-526744.00,-4.50,15611277.00,-3.24,69868.20,0.60,521851.28,4.45
156,Entry Short,Short,2022-03-07 17:00,2460.66,4760.7971,-526744.00,-4.50,15611277.00,-3.24,69868.20,0.60,521851.28,4.45
155,Exit Short,S Stop,2022-03-07 11:00,2633.63,6870.6733,-579912.10,-3.31,16138021.00,-3.45,407289.94,2.32,572674.20,3.27
155,Entry Short,Short,2022-03-06 21:00,2551.30,6870.6733,-579912.10,-3.31,16138021.00,-3.45,407289.94,2.32,572674.20,3.27
154,Exit Long,L Stop,2022-03-03 03:00,2878.80,4262.8121,-189055.08,-1.52,16717934.00,-1.11,519686.53,4.17,289480.47,2.32
154,Entry Long,Long,2022-02-28 21:00,2920.83,4262.8121,-189055.08,-1.52,16717934.00,-1.11,519686.53,4.17,289480.47,2.32
153,Exit Short,S Stop,2022-02-28 19:00,2911.51,5393.5578,-611277.75,-4.05,16906988.00,-3.47,2693218.20,17.83,604996.40,4.01
153,Entry Short,Short,2022-02-18 13:00,2800.46,5393.5578,-611277.75,-4.05,16906988.00,-3.47,2693218.20,17.83,604996.40,4.01
152,Exit Short,S Stop,2022-02-14 11:00,2953.57,5405.2265,-160167.38,-1.01,17518266.00,-0.90,519493.53,3.28,328964.88,2.08
152,Entry Short,Short,2022-02-11 19:00,2926.29,5405.2265,-160167.38,-1.01,17518266.00,-0.90,519493.53,3.28,328964.88,2.08
151,Exit Long,L Stop,2022-02-11 17:00,2945.46,6176.3246,1183082.10,6.96,17678434.00,7.13,3279192.00,19.30,1091237.00,6.42
151,Entry Long,Long,2022-02-01 01:00,2751.63,6176.3246,1183082.10,6.96,17678434.00,7.13,3279192.00,19.30,1091237.00,6.42
150,Exit Short,Long,2022-02-01 01:00,2751.63,4292.6911,628575.44,5.05,16495352.00,3.94,3177277.80,25.52,239575.64,1.92
150,Entry Short,Short,2022-01-20 23:00,2900.32,4292.6911,628575.44,5.05,16495352.00,3.94,3177277.80,25.52,239575.64,1.92
149,Exit Short,S Stop,2022-01-19 11:00,3159.23,7256.2263,-723579.94,-3.26,15866776.00,-4.34,440998.60,1.98,714410.30,3.22
149,Entry Short,Short,2022-01-19 05:00,3062.00,7256.2263,-723579.94,-3.26,15866776.00,-4.34,440998.60,1.98,714410.30,3.22
148,Exit Short,S Stop,2022-01-12 09:00,3373.53,5246.6855,2366935.00,11.79,16590356.00,16.52,4707216.00,23.44,392037.66,1.95
148,Entry Short,Short,2021-12-28 15:00,3827.54,5246.6855,2366935.00,11.79,16590356.00,16.52,4707216.00,23.44,392037.66,1.95
147,Exit Long,L Stop,2021-12-24 19:00,4017.55,4550.645,-543121.60,-2.89,14223421.00,-3.65,33932.09,0.18,535808.70,2.85
147,Entry Long,Long,2021-12-23 17:00,4133.64,4550.645,-543121.60,-2.89,14223421.00,-3.65,33932.09,0.18,535808.70,2.85
146,Exit Short,S Stop,2021-12-15 15:00,3974.30,3068.5158,-510675.03,-4.37,14766543.00,-3.32,508562.30,4.35,505796.94,4.33
146,Entry Short,Short,2021-12-13 13:00,3810.99,3068.5158,-510675.03,-4.37,14766543.00,-3.32,508562.30,4.35,505796.94,4.33
145,Exit Short,S Stop,2021-12-04 21:00,4159.35,2229.0184,-704553.30,-8.22,15277218.00,-4.38,122576.87,1.43,700844.80,8.17
145,Entry Short,Short,2021-12-04 03:00,3846.47,2229.0184,-704553.30,-8.22,15277218.00,-4.38,122576.87,1.43,700844.80,8.17
144,Exit Long,L Stop,2021-12-03 13:00,4419.34,3275.8339,-572399.30,-3.81,15981771.00,-3.44,610758.94,4.06,566608.50,3.77
144,Entry Long,Long,2021-11-30 09:00,4590.47,3275.8339,-572399.30,-3.81,15981771.00,-3.44,610758.94,4.06,566608.50,3.77
143,Exit Short,S Stop,2021-11-27 05:00,4183.39,3994.9987,-805940.40,-5.06,16554170.00,-4.62,280952.40,1.76,799255.30,5.02
143,Entry Short,L Stop,2021-11-26 09:00,3984.92,3994.9987,-805940.40,-5.06,16554170.00,-4.62,280952.40,1.76,799255.30,5.02
142,Exit Short,S Stop,2021-11-27 05:00,4183.39,2083.0346,-420225.80,-5.06,17353742.00,-2.35,146491.56,1.76,416740.16,5.02
142,Entry Short,L Stop,2021-11-26 09:00,3984.92,2083.0346,-420225.80,-5.06,17353742.00,-2.35,146491.56,1.76,416740.16,5.02
141,Exit Short,S Stop,2021-11-27 05:00,4183.39,3994.9987,-805940.40,-5.06,17770648.00,-4.32,280952.40,1.76,799255.30,5.02
141,Entry Short,Short,2021-11-26 09:00,3984.92,3994.9987,-805940.40,-5.06,17770648.00,-4.32,280952.40,1.76,799255.30,5.02
140,Exit Long,Short,2021-11-26 09:00,3984.92,6078.0333,-2894828.00,-10.68,18586276.00,-13.41,555513.25,2.05,2915043.80,10.76
140,Entry Long,Long,2021-11-25 11:00,4457.82,6078.0333,-2894828.00,-10.68,18586276.00,-13.41,555513.25,2.05,2915043.80,10.76
139,Exit Short,Long,2021-11-25 11:00,4457.82,4717.5522,-293397.75,-1.41,21481104.00,-1.34,2080300.50,10.02,345040.20,1.66
139,Entry Short,Short,2021-11-15 23:00,4399.17,4717.5522,-293397.75,-1.41,21481104.00,-1.34,2080300.50,10.02,345040.20,1.66
138,Exit Long,L Stop,2021-11-10 17:00,4584.67,8156.4688,-862045.20,-2.26,21774502.00,-3.79,1463885.00,3.83,847087.30,2.22
138,Entry Long,Long,2021-11-07 23:00,4686.65,8156.4688,-862045.20,-2.26,21774502.00,-3.79,1463885.00,3.83,847087.30,2.22
137,Exit Long,L Stop,2021-11-06 07:00,4346.48,6601.2958,-960052.50,-3.24,22636548.00,-4.05,1159812.40,3.91,948575.50,3.20
137,Entry Long,Long,2021-11-02 11:00,4488.38,6601.2958,-960052.50,-3.24,22636548.00,-4.05,1159812.40,3.91,948575.50,3.20
136,Exit Long,L Stop,2021-10-30 11:00,4272.92,6369.6032,-1091339.00,-3.86,23596600.00,-4.40,114166.81,0.40,1080452.20,3.82
136,Entry Long,Long,2021-10-29 13:00,4440.77,6369.6032,-1091339.00,-3.86,23596600.00,-4.40,114166.81,0.40,1080452.20,3.82
135,Exit Long,L Stop,2021-10-27 05:00,3936.91,5389.8391,3765131.80,21.59,24687940.00,17.91,6134854.00,35.18,325299.38,1.87
135,Entry Long,Long,2021-10-01 09:00,3235.48,5389.8391,3765131.80,21.59,24687940.00,17.91,6134854.00,35.18,325299.38,1.87
134,Exit Short,S Stop,2021-10-01 07:00,3183.04,5695.0066,-816265.80,-4.71,20922808.00,-3.74,2215261.50,12.79,809014.90,4.67
134,Entry Short,Short,2021-09-20 09:00,3042.20,5695.0066,-816265.80,-4.71,20922808.00,-3.74,2215261.50,12.79,809014.90,4.67
133,Exit Long,L Stop,2021-09-16 17:00,3500.84,6765.2364,-893094.70,-3.64,21739074.00,-3.93,109380.34,0.45,883621.06,3.60
133,Entry Long,Long,2021-09-16 03:00,3630.00,6765.2364,-893094.70,-3.64,21739074.00,-3.93,109380.34,0.45,883621.06,3.60
132,Exit Long,L Stop,2021-09-07 05:00,3703.90,5953.9328,1614387.90,7.91,22632168.00,7.64,3552164.20,17.39,549321.50,2.69
132,Entry Long,Long,2021-08-31 09:00,3429.90,5953.9328,1614387.90,7.91,22632168.00,7.64,3552164.20,17.39,549321.50,2.69
131,Exit Long,L Stop,2021-08-24 11:00,3235.19,7499.7549,-807424.80,-3.22,21017780.00,-3.68,272495.44,1.09,797719.56,3.18
131,Entry Long,Long,2021-08-23 01:00,3340.22,7499.7549,-807424.80,-3.22,21017780.00,-3.68,272495.44,1.09,797719.56,3.18
130,Exit Long,L Stop,2021-08-17 17:00,3069.34,7067.719,7060615.50,48.30,21825206.00,47.50,8946903.00,61.20,536420.90,3.67
130,Entry Long,Long,2021-07-22 23:00,2068.29,7067.719,7060615.50,48.30,21825206.00,47.50,8946903.00,61.20,536420.90,3.67
129,Exit Short,S Stop,2021-07-21 13:00,1976.83,7604.5258,399518.06,2.59,14764590.00,2.76,2465065.00,15.96,152184.72,0.99
129,Entry Short,Short,2021-07-12 15:00,2030.97,7604.5258,399518.06,2.59,14764590.00,2.76,2465065.00,15.96,152184.72,0.99
128,Exit Long,L Stop,2021-07-04 23:00,2245.00,6508.0744,-594198.80,-3.91,14365072.00,-3.95,354860.66,2.34,588354.56,3.87
128,Entry Long,Long,2021-07-04 05:00,2334.47,6508.0744,-594198.80,-3.91,14365072.00,-3.95,354860.66,2.34,588354.56,3.87
127,Exit Long,L Stop,2021-07-01 03:00,2146.06,6980.5588,-835042.30,-5.28,14959270.00,-5.25,119328.69,0.76,829050.00,5.25
127,Entry Long,Long,2021-06-30 19:00,2263.92,6980.5588,-835042.30,-5.28,14959270.00,-5.25,119328.69,0.76,829050.00,5.25
126,Exit Long,L Stop,2021-06-30 01:00,2112.17,6281.7347,-724065.06,-5.18,15794313.00,-4.36,115644.98,0.83,718757.80,5.14
126,Entry Long,Long,2021-06-29 11:00,2225.70,6281.7347,-724065.06,-5.18,15794313.00,-4.36,115644.98,0.83,718757.80,5.14
125,Exit Short,S Stop,2021-06-28 03:00,2052.26,5691.0771,916394.90,7.27,16518378.00,5.84,2923073.80,23.19,375076.10,2.98
125,Entry Short,Short,2021-06-18 13:00,2214.99,5691.0771,916394.90,7.27,16518378.00,5.84,2923073.80,23.19,375076.10,2.98
124,Exit Short,S Stop,2021-06-14 21:00,2614.54,3799.7983,-477339.03,-5.04,15601983.00,-2.95,888178.60,9.38,519304.70,5.49
124,Entry Short,Short,2021-06-08 01:00,2490.96,3799.7983,-477339.03,-5.04,15601983.00,-2.95,888178.60,9.38,519304.70,5.49
123,Exit Short,S Stop,2021-06-02 13:00,2802.56,2035.884,1251582.20,17.98,16079322.00,8.38,3440037.50,49.41,347195.44,4.99
123,Entry Short,Short,2021-05-16 17:00,3419.81,2035.884,1251582.20,17.98,16079322.00,8.38,3440037.50,49.41,347195.44,4.99
122,Exit Long,L Stop,2021-05-12 21:00,3603.12,3262.2495,3058696.80,35.21,14827740.00,25.77,5574025.50,64.16,341346.16,3.93
122,Entry Long,Long,2021-04-27 13:00,2663.01,3262.2495,3058696.80,35.21,14827740.00,25.77,5574025.50,64.16,341346.16,3.93
121,Exit Long,L Stop,2021-04-22 17:00,2457.76,3334.5562,-516947.60,-5.94,11769043.00,-4.17,108925.60,1.25,513669.38,5.90
121,Entry Long,Long,2021-04-22 13:00,2610.76,3334.5562,-516947.60,-5.94,11769043.00,-4.17,108925.60,1.25,513669.38,5.90
120,Exit Long,L Stop,2021-04-17 23:00,2234.46,5992.7367,1990643.10,17.48,12285991.00,19.15,3876699.80,34.04,98102.61,0.86
120,Entry Long,Long,2021-03-31 17:00,1900.63,5992.7367,1990643.10,17.48,12285991.00,19.15,3876699.80,34.04,98102.61,0.86
119,Exit Long,L Stop,2021-03-31 05:00,1778.52,6804.7782,-390357.34,-3.13,10295348.00,-3.62,186289.12,1.49,385516.38,3.09
119,Entry Long,Long,2021-03-29 15:00,1834.44,6804.7782,-390357.34,-3.13,10295348.00,-3.62,186289.12,1.49,385516.38,3.09
118,Exit Short,S Stop,2021-03-26 19:00,1698.16,6064.5299,-119720.93,-1.18,10685705.00,-1.10,862243.30,8.46,374556.94,3.68
118,Entry Short,Short,2021-03-22 19:00,1679.77,6064.5299,-119720.93,-1.18,10685705.00,-1.10,862243.30,8.46,374556.94,3.68
117,Exit Long,L Stop,2021-03-22 17:00,1724.21,5002.9133,-18161.92,-0.21,10805426.00,-0.17,1086379.80,12.58,311134.10,3.60
117,Entry Long,Long,2021-03-07 21:00,1726.46,5002.9133,-18161.92,-0.21,10805426.00,-0.17,1086379.80,12.58,311134.10,3.60
116,Exit Short,S Stop,2021-02-28 21:00,1442.84,5733.0997,-582047.80,-7.56,10823588.00,-5.06,279276.66,3.63,578739.06,7.52
116,Entry Short,Short,2021-02-28 05:00,1342.43,5733.0997,-582047.80,-7.56,10823588.00,-5.06,279276.66,3.63,578739.06,7.52
115,Exit Short,S Stop,2021-02-24 05:00,1685.86,2994.609,-558987.30,-12.44,11405636.00,-4.63,384117.94,8.55,556967.90,12.40
115,Entry Short,Short,2021-02-23 07:00,1500.47,2994.609,-558987.30,-12.44,11405636.00,-4.63,384117.94,8.55,556967.90,12.40
114,Exit Long,L Stop,2021-02-20 19:00,1834.92,6220.3241,-454248.78,-3.83,11964623.00,-3.63,840536.40,7.09,449683.28,3.79
114,Entry Long,Long,2021-02-17 23:00,1906.45,6220.3241,-454248.78,-3.83,11964623.00,-3.63,840536.40,7.09,449683.28,3.79
113,Exit Long,L Stop,2021-02-14 23:00,1657.58,6170.2615,1131242.00,12.45,12418872.00,9.93,2456632.80,27.03,31895.29,0.35
113,Entry Long,Long,2021-02-02 15:00,1472.99,6170.2615,1131242.00,12.45,12418872.00,9.93,2456632.80,27.03,31895.29,0.35
112,Exit Long,L Stop,2021-01-20 07:00,1297.95,5633.473,-438560.66,-5.66,11287630.00,-3.71,355022.06,4.58,435635.84,5.63
112,Entry Long,Long,2021-01-19 05:00,1374.73,5633.473,-438560.66,-5.66,11287630.00,-3.71,355022.06,4.58,435635.84,5.63
111,Exit Long,L Stop,2021-01-10 23:00,1080.72,8502.3472,2946015.00,47.24,11726190.00,33.18,5225003.50,83.78,379148.56,6.08
111,Entry Long,Long,2020-12-28 05:00,733.50,8502.3472,2946015.00,47.24,11726190.00,33.18,5225003.50,83.78,379148.56,6.08
110,Exit Long,L Stop,2020-12-27 17:00,663.72,7183.684,-248301.05,-4.95,8780175.00,-2.72,137286.69,2.74,246393.86,4.92
110,Entry Long,Long,2020-12-27 13:00,697.74,7183.684,-248301.05,-4.95,8780175.00,-2.72,137286.69,2.74,246393.86,4.92
109,Exit Short,S Stop,2020-12-25 05:00,619.77,14546.1898,-505801.56,-5.94,9028476.00,-5.25,288244.50,3.38,502195.44,5.90
109,Entry Short,Short,2020-12-23 21:00,585.48,14546.1898,-505801.56,-5.94,9028476.00,-5.25,288244.50,3.38,502195.44,5.90
108,Exit Long,L Stop,2020-12-22 03:00,594.72,21729.1392,-324015.10,-2.45,9534278.00,-3.25,1452730.80,10.98,318846.00,2.41
108,Entry Long,Long,2020-12-16 11:00,609.15,21729.1392,-324015.10,-2.45,9534278.00,-3.25,1452730.80,10.98,318846.00,2.41
107,Exit Short,S Stop,2020-12-09 11:00,573.59,22501.668,-430263.50,-3.45,9858293.00,-4.14,546071.20,4.37,425100.78,3.40
107,Entry Short,Short,2020-12-08 21:00,554.92,22501.668,-430263.50,-3.45,9858293.00,-4.14,546071.20,4.37,425100.78,3.40
106,Exit Long,L Stop,2020-11-25 23:00,541.09,20594.5465,2605784.50,30.55,10288557.00,33.48,4297141.50,50.38,159312.66,1.87
106,Entry Long,Long,2020-11-05 13:00,414.18,20594.5465,2605784.50,30.55,10288557.00,33.48,4297141.50,50.38,159312.66,1.87
105,Exit Short,S Stop,2020-10-31 05:00,389.93,37285.7779,-427946.62,-3.03,7682772.00,-5.21,198304.27,1.40,422131.10,2.99
105,Entry Short,Short,2020-10-30 05:00,378.76,37285.7779,-427946.62,-3.03,7682772.00,-5.21,198304.27,1.40,422131.10,2.99
104,Exit Long,L Stop,2020-10-26 13:00,389.27,30370.0606,-89362.93,-0.75,8110718.50,-1.08,870808.06,7.32,113181.93,0.95
104,Entry Long,Long,2020-10-21 13:00,391.90,30370.0606,-89362.93,-0.75,8110718.50,-1.08,870808.06,7.32,113181.93,0.95
103,Exit Long,L Stop,2020-10-16 05:00,362.11,45408.6301,-297071.78,-1.78,8200081.50,-3.46,1193913.50,7.14,290494.62,1.74
103,Entry Long,Long,2020-10-09 23:00,368.36,45408.6301,-297071.78,-1.78,8200081.50,-3.46,1193913.50,7.14,290494.62,1.74
102,Exit Short,S Stop,2020-10-02 23:00,348.91,38058.1924,-416161.16,-3.23,8497153.00,-4.62,147464.08,1.15,410849.60,3.19
102,Entry Short,Short,2020-10-02 07:00,338.25,38058.1924,-416161.16,-3.23,8497153.00,-4.62,147464.08,1.15,410849.60,3.19
101,Exit Short,S Stop,2020-09-28 09:00,362.47,32847.3725,-337538.94,-2.92,8913315.00,-3.61,1282657.20,11.08,332776.47,2.87
101,Entry Short,Short,2020-09-21 09:00,352.48,32847.3725,-337538.94,-2.92,8913315.00,-3.61,1282657.20,11.08,332776.47,2.87
100,Exit Long,L Stop,2020-09-18 13:00,378.99,34236.9741,-476189.47,-3.54,9250853.00,-4.85,9003.09,0.07,470999.28,3.50
100,Entry Long,Long,2020-09-17 19:00,392.59,34236.9741,-476189.47,-3.54,9250853.00,-4.85,9003.09,0.07,470999.28,3.50
99,Exit Short,S Stop,2020-09-12 15:00,382.83,17502.9502,-473902.03,-7.60,9727043.00,-4.60,831172.75,13.34,471221.78,7.56
99,Entry Short,Short,2020-09-05 09:00,356.05,17502.9502,-473902.03,-7.60,9727043.00,-4.60,831172.75,13.34,471221.78,7.56
98,Exit Long,L Stop,2020-09-03 09:00,409.20,37810.9638,-194321.28,-1.24,10200945.00,-1.85,2823132.80,18.03,188132.38,1.20
98,Entry Long,Long,2020-08-30 11:00,414.01,37810.9638,-194321.28,-1.24,10200945.00,-1.85,2823132.80,18.03,188132.38,1.20
97,Exit Short,S Stop,2020-08-25 23:00,387.44,27376.3882,-386949.38,-3.78,10395266.00,-3.56,94463.76,0.92,382706.70,3.74
97,Entry Short,Short,2020-08-25 15:00,373.61,27376.3882,-386949.38,-3.78,10395266.00,-3.56,94463.76,0.92,382706.70,3.74
96,Exit Short,S Stop,2020-08-24 05:00,403.23,31178.0058,-468814.20,-3.87,10782216.00,-4.13,262973.88,2.17,463785.44,3.83
96,Entry Short,Short,2020-08-21 19:00,388.51,31178.0058,-468814.20,-3.87,10782216.00,-4.13,262973.88,2.17,463785.44,3.83
95,Exit Long,L Stop,2020-08-19 13:00,401.15,17833.1047,-316856.75,-4.24,11251030.00,-2.72,485819.50,6.51,313995.25,4.21
95,Entry Long,Long,2020-08-13 19:00,418.59,17833.1047,-316856.75,-4.24,11251030.00,-2.72,485819.50,6.51,313995.25,4.21
94,Exit Long,L Stop,2020-08-07 13:00,370.39,27769.073,3406789.20,49.58,11567887.00,41.24,4673285.50,68.01,16077.85,0.23
94,Entry Long,S Stop,2020-07-22 19:00,247.46,27769.073,3406789.20,49.58,11567887.00,41.24,4673285.50,68.01,16077.85,0.23
93,Exit Long,L Stop,2020-08-07 13:00,370.39,10017.7485,1229006.00,49.58,8158348.50,17.48,1685897.10,68.01,5800.12,0.23
93,Entry Long,Long,2020-07-22 19:00,247.46,10017.7485,1229006.00,49.58,8158348.50,17.48,1685897.10,68.01,5800.12,0.23
92,Exit Long,L Stop,2020-08-07 13:00,370.39,27769.073,3406789.20,49.58,6928351.00,94.07,4673285.50,68.01,16077.85,0.23
92,Entry Long,Long,2020-07-22 19:00,247.46,27769.073,3406789.20,49.58,6928351.00,94.07,4673285.50,68.01,16077.85,0.23
91,Exit Short,Long,2020-07-22 19:00,247.46,27769.073,-418258.34,-6.48,3525302.00,-10.34,64617.63,1.00,418008.84,6.47
91,Entry Short,Short,2020-07-16 05:00,232.59,27769.073,-418258.34,-6.48,3525302.00,-10.34,64617.63,1.00,418008.84,6.47
90,Exit Long,L Stop,2020-07-16 03:00,231.43,33212.5393,-52333.00,-0.68,3943560.20,-1.28,530300.40,6.86,49258.45,0.64
90,Entry Long,Long,2020-07-06 05:00,232.82,33212.5393,-52333.00,-0.68,3943560.20,-1.28,530300.40,6.86,49258.45,0.64
89,Exit Short,S Stop,2020-06-29 19:00,229.12,37493.8949,-169530.89,-2.01,3995893.20,-3.97,325825.25,3.87,166094.66,1.97
89,Entry Short,Short,2020-06-27 15:00,224.78,37493.8949,-169530.89,-2.01,3995893.20,-3.97,325825.25,3.87,166094.66,1.97
88,Exit Long,L Stop,2020-06-24 11:00,234.34,49689.0814,-205665.69,-1.74,4165424.20,-4.60,539359.25,4.56,201008.03,1.70
88,Entry Long,Long,2020-06-22 11:00,238.29,49689.0814,-205665.69,-1.74,4165424.20,-4.60,539359.25,4.56,201008.03,1.70
87,Exit Short,S Stop,2020-06-15 15:00,231.25,36814.9737,-210316.14,-2.53,4371090.00,-4.49,270947.60,3.26,206910.75,2.49
87,Entry Short,Short,2020-06-15 01:00,225.72,36814.9737,-210316.14,-2.53,4371090.00,-4.49,270947.60,3.26,206910.75,2.49
